rad;T;elevazione;;media;dev std
3157;40.32;30;;3129,909716;43,15691579
3144;40.32;30;;;
3162;40.32;30;;;
3151;40.32;30;;;
3131;40.32;30;;;
3122;40.32;30;;;
3142;40.32;30;;;
3137;40.32;30;;;
3117;40.32;30;;;
3115;40.32;30;;;
3133;40.32;30;;;
3142;40.32;30;;;
3153;40.32;30;;;
3166;40.32;30;;;
3159;40.32;30;;;
3160;40.32;30;;;
3140;40.35;30;;;
3144;40.32;30;;;
3129;40.35;30;;;
3132;40.35;30;;;
3136;40.35;30;;;
3136;40.35;30;;;
3146;40.35;30;;;
3139;40.35;30;;;
3148;40.35;30;;;
3143;40.35;30;;;
3112;40.35;30;;;
3138;40.35;30;;;
3114;40.35;30;;;
3122;40.35;30;;;
3105;40.35;30;;;
3132;40.35;30;;;
3116;40.35;30;;;
3125;40.35;30;;;
3101;40.35;30;;;
3097;40.35;30;;;
3080;40.35;30;;;
3059;40.35;30;;;
3064;40.35;30;;;
3058;40.35;30;;;
3058;40.35;30;;;
3035;40.35;30;;;
3041;40.35;30;;;
3040;40.35;30;;;
3053;40.35;30;;;
3072;40.35;30;;;
3093;40.35;30;;;
3099;40.35;30;;;
3104;40.35;30;;;
3104;40.35;30;;;
3106;40.35;30;;;
3105;40.35;30;;;
3117;40.35;30;;;
3099;40.35;30;;;
3104;40.35;30;;;
3087;40.35;30;;;
3087;40.35;30;;;
3054;40.35;30;;;
3073;40.35;30;;;
3051;40.35;30;;;
3039;40.35;30;;;
3044;40.35;30;;;
3058;40.35;30;;;
3041;40.35;30;;;
3034;40.35;30;;;
3041;40.35;30;;;
3052;40.35;30;;;
3045;40.35;30;;;
3044;40.35;30;;;
3060;40.35;30;;;
3059;40.35;30;;;
3065;40.35;30;;;
3055;40.35;30;;;
3060;40.35;30;;;
3058;40.35;30;;;
3055;40.35;30;;;
3062;40.35;30;;;
3070;40.35;30;;;
3080;40.35;30;;;
3075;40.32;30;;;
3083;40.32;30;;;
3091;40.32;30;;;
3103;40.32;30;;;
3088;40.32;30;;;
3072;40.32;30;;;
3075;40.32;30;;;
3083;40.32;30;;;
3100;40.32;30;;;
3103;40.32;30;;;
3095;40.32;30;;;
3077;40.32;30;;;
3080;40.32;30;;;
3076;40.32;30;;;
3053;40.32;30;;;
3071;40.32;30;;;
3070;40.32;30;;;
3076;40.32;30;;;
3087;40.32;30;;;
3058;40.32;30;;;
3071;40.32;30;;;
3077;40.32;30;;;
3060;40.32;30;;;
3072;40.32;30;;;
3076;40.32;30;;;
3082;40.32;30;;;
3080;40.29;30;;;
3077;40.29;30;;;
3071;40.29;30;;;
3072;40.29;30;;;
3086;40.29;30;;;
3076;40.29;30;;;
3073;40.29;30;;;
3090;40.29;30;;;
3083;40.29;30;;;
3068;40.29;30;;;
3083;40.29;30;;;
3067;40.29;30;;;
3081;40.29;30;;;
3084;40.29;30;;;
3075;40.29;30;;;
3088;40.29;30;;;
3083;40.29;30;;;
3079;40.29;30;;;
3101;40.29;30;;;
3094;40.29;30;;;
3117;40.29;30;;;
3126;40.29;30;;;
3114;40.29;30;;;
3126;40.29;30;;;
3116;40.29;30;;;
3102;40.29;30;;;
3100;40.29;30;;;
3103;40.29;30;;;
3096;40.29;30;;;
3090;40.26;30;;;
3089;40.26;30;;;
3090;40.26;30;;;
3072;40.26;30;;;
3082;40.26;30;;;
3075;40.26;30;;;
3082;40.26;30;;;
3076;40.26;30;;;
3073;40.26;30;;;
3106;40.26;30;;;
3117;40.26;30;;;
3122;40.26;30;;;
3122;40.26;30;;;
3116;40.26;30;;;
3118;40.26;30;;;
3125;40.26;30;;;
3121;40.26;30;;;
3100;40.26;30;;;
3099;40.26;30;;;
3081;40.26;30;;;
3089;40.26;30;;;
3058;40.26;30;;;
3059;40.26;30;;;
3067;40.26;30;;;
3078;40.26;30;;;
3087;40.26;30;;;
3071;40.26;30;;;
3076;40.26;30;;;
3094;40.26;30;;;
3075;40.26;30;;;
3065;40.26;30;;;
3067;40.26;30;;;
3056;40.26;30;;;
3042;40.26;30;;;
3045;40.26;30;;;
3042;40.26;30;;;
3060;40.26;30;;;
3050;40.26;30;;;
3060;40.26;30;;;
3055;40.26;30;;;
3041;40.26;30;;;
3050;40.26;30;;;
3049;40.26;30;;;
3056;40.26;30;;;
3079;40.26;30;;;
3081;40.26;30;;;
3102;40.26;30;;;
3111;40.26;30;;;
3133;40.26;30;;;
3156;40.26;30;;;
3144;40.26;30;;;
3122;40.26;30;;;
3120;40.26;30;;;
3121;40.26;30;;;
3102;40.26;30;;;
3102;40.26;30;;;
3092;40.29;30;;;
3084;40.29;30;;;
3084;40.29;30;;;
3100;40.29;30;;;
3124;40.29;30;;;
3126;40.29;30;;;
3116;40.29;30;;;
3108;40.29;30;;;
3124;40.29;30;;;
3127;40.29;30;;;
3125;40.29;30;;;
3131;40.29;30;;;
3127;40.29;30;;;
3104;40.29;30;;;
3118;40.29;30;;;
3114;40.29;30;;;
3119;40.29;30;;;
3124;40.29;30;;;
3124;40.29;30;;;
3114;40.29;30;;;
3107;40.29;30;;;
3112;40.29;30;;;
3131;40.29;30;;;
3120;40.29;30;;;
3137;40.29;30;;;
3124;40.29;30;;;
3115;40.29;30;;;
3106;40.29;30;;;
3093;40.29;30;;;
3113;40.29;30;;;
3098;40.29;30;;;
3082;40.29;30;;;
3087;40.29;30;;;
3089;40.29;30;;;
3085;40.29;30;;;
3075;40.29;30;;;
3078;40.29;30;;;
3079;40.29;30;;;
3101;40.29;30;;;
3089;40.29;30;;;
3109;40.29;30;;;
3098;40.29;30;;;
3105;40.29;30;;;
3100;40.29;30;;;
3090;40.29;30;;;
3097;40.29;30;;;
3068;40.29;30;;;
3070;40.29;30;;;
3078;40.29;30;;;
3071;40.29;30;;;
3087;40.29;30;;;
3092;40.32;30;;;
3090;40.32;30;;;
3073;40.32;30;;;
3091;40.32;30;;;
3082;40.32;30;;;
3096;40.32;30;;;
3074;40.32;30;;;
3089;40.32;30;;;
3078;40.32;30;;;
3084;40.32;30;;;
3075;40.32;30;;;
3061;40.32;30;;;
3089;40.32;30;;;
3090;40.32;30;;;
3085;40.32;30;;;
3074;40.32;30;;;
3089;40.32;30;;;
3111;40.32;30;;;
3072;40.32;30;;;
3109;40.32;30;;;
3078;40.32;30;;;
3089;40.32;30;;;
3062;40.32;30;;;
3078;40.32;30;;;
3067;40.32;30;;;
3058;40.32;30;;;
3072;40.32;30;;;
3075;40.32;30;;;
3062;40.32;30;;;
3054;40.32;30;;;
3068;40.32;30;;;
3083;40.32;30;;;
3073;40.32;30;;;
3067;40.32;30;;;
3081;40.32;30;;;
3080;40.32;30;;;
3080;40.32;30;;;
3080;40.32;30;;;
3068;40.32;30;;;
3080;40.32;30;;;
3081;40.32;30;;;
3074;40.32;30;;;
3069;40.32;30;;;
3068;40.32;30;;;
3086;40.32;30;;;
3076;40.32;30;;;
3056;40.32;30;;;
3076;40.32;30;;;
3080;40.29;30;;;
3066;40.29;30;;;
3064;40.29;30;;;
3046;40.29;30;;;
3055;40.29;30;;;
3050;40.29;30;;;
3049;40.29;30;;;
3054;40.29;30;;;
3050;40.29;30;;;
3053;40.29;30;;;
3051;40.29;30;;;
3062;40.29;30;;;
3060;40.29;30;;;
3072;40.29;30;;;
3067;40.29;30;;;
3072;40.29;30;;;
3085;40.29;30;;;
3088;40.29;30;;;
3085;40.29;30;;;
3081;40.29;30;;;
3073;40.29;30;;;
3062;40.29;30;;;
3061;40.29;30;;;
3071;40.29;30;;;
3051;40.29;30;;;
3068;40.29;30;;;
3087;40.29;30;;;
3074;40.29;30;;;
3084;40.29;30;;;
3074;40.29;30;;;
3098;40.29;30;;;
3090;40.29;30;;;
3079;40.29;30;;;
3092;40.29;30;;;
3092;40.29;30;;;
3079;40.29;30;;;
3099;40.29;30;;;
3099;40.29;30;;;
3104;40.29;30;;;
3093;40.29;30;;;
3092;40.29;30;;;
3105;40.29;30;;;
3084;40.29;30;;;
3076;40.29;30;;;
3100;40.29;30;;;
3101;40.29;30;;;
3099;40.29;30;;;
3115;40.29;30;;;
3108;40.29;30;;;
3120;40.29;30;;;
3121;40.29;30;;;
3100;40.29;30;;;
3109;40.32;30;;;
3097;40.32;30;;;
3113;40.29;30;;;
3116;40.32;30;;;
3104;40.32;30;;;
3103;40.32;30;;;
3105;40.32;30;;;
3118;40.32;30;;;
3102;40.32;30;;;
3120;40.32;30;;;
3142;40.32;30;;;
3129;40.32;30;;;
3142;40.32;30;;;
3144;40.32;30;;;
3133;40.32;30;;;
3134;40.32;30;;;
3134;40.32;30;;;
3157;40.32;30;;;
3169;40.32;30;;;
3151;40.29;30;;;
3166;40.32;30;;;
3175;40.32;30;;;
3166;40.32;30;;;
3156;40.32;30;;;
3141;40.29;30;;;
3153;40.32;30;;;
3142;40.29;30;;;
3135;40.29;30;;;
3131;40.29;30;;;
3147;40.29;30;;;
3138;40.29;30;;;
3136;40.29;30;;;
3136;40.29;30;;;
3129;40.29;30;;;
3154;40.29;30;;;
3135;40.29;30;;;
3118;40.29;30;;;
3139;40.29;30;;;
3122;40.29;30;;;
3147;40.29;30;;;
3141;40.29;30;;;
3125;40.29;30;;;
3142;40.29;30;;;
3128;40.32;30;;;
3147;40.32;30;;;
3149;40.32;30;;;
3149;40.29;30;;;
3152;40.29;30;;;
3165;40.29;30;;;
3143;40.29;30;;;
3148;40.29;30;;;
3137;40.29;30;;;
3134;40.29;30;;;
3140;40.29;30;;;
3130;40.29;30;;;
3120;40.29;30;;;
3133;40.29;30;;;
3132;40.29;30;;;
3132;40.29;30;;;
3135;40.29;30;;;
3127;40.29;30;;;
3128;40.29;30;;;
3141;40.29;30;;;
3139;40.29;30;;;
3157;40.29;30;;;
3148;40.29;30;;;
3165;40.29;30;;;
3157;40.29;30;;;
3167;40.29;30;;;
3152;40.29;30;;;
3150;40.29;30;;;
3154;40.29;30;;;
3143;40.29;30;;;
3123;40.29;30;;;
3104;40.29;30;;;
3117;40.29;30;;;
3121;40.29;30;;;
3129;40.29;30;;;
3134;40.29;30;;;
3133;40.29;30;;;
3107;40.29;30;;;
3127;40.29;30;;;
3102;40.29;30;;;
3098;40.29;30;;;
3116;40.29;30;;;
3114;40.29;30;;;
3115;40.29;30;;;
3114;40.29;30;;;
3115;40.29;30;;;
3119;40.29;30;;;
3112;40.29;30;;;
3114;40.29;30;;;
3111;40.29;30;;;
3107;40.29;30;;;
3097;40.29;30;;;
3118;40.29;30;;;
3100;40.29;30;;;
3097;40.29;30;;;
3095;40.29;30;;;
3096;40.29;30;;;
3094;40.29;30;;;
3087;40.29;30;;;
3081;40.29;30;;;
3061;40.29;30;;;
3094;40.29;30;;;
3072;40.29;30;;;
3076;40.29;30;;;
3083;40.29;30;;;
3096;40.29;30;;;
3087;40.29;30;;;
3096;40.29;30;;;
3102;40.29;30;;;
3099;40.29;30;;;
3073;40.29;30;;;
3092;40.29;30;;;
3071;40.29;30;;;
3069;40.29;30;;;
3068;40.29;30;;;
3054;40.29;30;;;
3060;40.29;30;;;
3071;40.29;30;;;
3056;40.29;30;;;
3106;40.29;30;;;
3072;40.29;30;;;
3087;40.29;30;;;
3094;40.29;30;;;
3084;40.29;30;;;
3101;40.29;30;;;
3085;40.29;30;;;
3101;40.29;30;;;
3105;40.29;30;;;
3111;40.29;30;;;
3136;40.32;30;;;
3126;40.32;30;;;
3102;40.32;30;;;
3114;40.32;30;;;
3103;40.32;30;;;
3100;40.32;30;;;
3113;40.32;30;;;
3116;40.29;30;;;
3113;40.29;30;;;
3101;40.29;30;;;
3113;40.32;30;;;
3118;40.29;30;;;
3104;40.29;30;;;
3122;40.29;30;;;
3113;40.29;30;;;
3123;40.29;30;;;
3114;40.29;30;;;
3116;40.29;30;;;
3132;40.29;30;;;
3145;40.29;30;;;
3129;40.29;30;;;
3111;40.32;30;;;
3128;40.29;30;;;
3111;40.29;30;;;
3123;40.29;30;;;
3114;40.29;30;;;
3101;40.32;30;;;
3095;40.32;30;;;
3087;40.32;30;;;
3093;40.32;30;;;
3087;40.32;30;;;
3077;40.32;30;;;
3063;40.32;30;;;
3073;40.32;30;;;
3068;40.29;30;;;
3085;40.29;30;;;
3077;40.29;30;;;
3080;40.29;30;;;
3097;40.29;30;;;
3102;40.29;30;;;
3097;40.29;30;;;
3109;40.29;30;;;
3106;40.29;30;;;
3110;40.29;30;;;
3103;40.29;30;;;
3100;40.29;30;;;
3099;40.29;30;;;
3116;40.29;30;;;
3118;40.29;30;;;
3102;40.29;30;;;
3118;40.29;30;;;
3130;40.29;30;;;
3122;40.29;30;;;
3126;40.29;30;;;
3135;40.29;30;;;
3126;40.29;30;;;
3130;40.29;30;;;
3125;40.29;30;;;
3140;40.29;30;;;
3133;40.29;30;;;
3140;40.29;30;;;
3136;40.29;30;;;
3124;40.29;30;;;
3133;40.29;30;;;
3146;40.29;30;;;
3128;40.29;30;;;
3123;40.29;30;;;
3117;40.29;30;;;
3125;40.29;30;;;
3121;40.29;30;;;
3109;40.32;30;;;
3134;40.32;30;;;
3128;40.32;30;;;
3143;40.29;30;;;
3135;40.29;30;;;
3126;40.29;30;;;
3114;40.29;30;;;
3119;40.32;30;;;
3116;40.32;30;;;
3125;40.32;30;;;
3124;40.32;30;;;
3120;40.32;30;;;
3112;40.29;30;;;
3103;40.32;30;;;
3095;40.32;30;;;
3108;40.32;30;;;
3085;40.32;30;;;
3093;40.32;30;;;
3096;40.32;30;;;
3103;40.32;30;;;
3080;40.32;30;;;
3089;40.32;30;;;
3102;40.32;30;;;
3107;40.32;30;;;
3072;40.32;30;;;
3097;40.32;30;;;
3086;40.32;30;;;
3102;40.32;30;;;
3092;40.32;30;;;
3112;40.32;30;;;
3103;40.32;30;;;
3111;40.32;30;;;
3121;40.32;30;;;
3123;40.32;30;;;
3113;40.32;30;;;
3142;40.32;30;;;
3136;40.32;30;;;
3143;40.32;30;;;
3148;40.32;30;;;
3127;40.32;30;;;
3147;40.32;30;;;
3131;40.32;30;;;
3129;40.32;30;;;
3117;40.32;30;;;
3140;40.32;30;;;
3116;40.32;30;;;
3134;40.32;30;;;
3129;40.32;30;;;
3119;40.32;30;;;
3120;40.32;30;;;
3119;40.32;30;;;
3099;40.32;30;;;
3112;40.32;30;;;
3116;40.32;30;;;
3140;40.32;30;;;
3115;40.32;30;;;
3121;40.32;30;;;
3130;40.32;30;;;
3120;40.32;30;;;
3121;40.32;30;;;
3132;40.32;30;;;
3143;40.32;30;;;
3109;40.32;30;;;
3119;40.32;30;;;
3125;40.32;30;;;
3122;40.32;30;;;
3131;40.32;30;;;
3138;40.32;30;;;
3125;40.32;30;;;
3138;40.32;30;;;
3145;40.32;30;;;
3161;40.32;30;;;
3144;40.32;30;;;
3166;40.32;30;;;
3174;40.32;30;;;
3167;40.32;30;;;
3188;40.32;30;;;
3174;40.32;30;;;
3185;40.32;30;;;
3189;40.32;30;;;
3165;40.32;30;;;
3193;40.32;30;;;
3176;40.32;30;;;
3192;40.32;30;;;
3179;40.32;30;;;
3184;40.32;30;;;
3200;40.32;30;;;
3179;40.32;30;;;
3179;40.32;30;;;
3159;40.32;30;;;
3195;40.32;30;;;
3179;40.32;30;;;
3177;40.32;30;;;
3193;40.32;30;;;
3186;40.32;30;;;
3199;40.29;30;;;
3201;40.32;30;;;
3201;40.29;30;;;
3204;40.29;30;;;
3205;40.29;30;;;
3192;40.29;30;;;
3192;40.29;30;;;
3189;40.29;30;;;
3194;40.29;30;;;
3188;40.29;30;;;
3181;40.29;30;;;
3203;40.29;30;;;
3190;40.29;30;;;
3200;40.29;30;;;
3178;40.29;30;;;
3170;40.29;30;;;
3180;40.29;30;;;
3167;40.29;30;;;
3186;40.29;30;;;
3184;40.29;30;;;
3182;40.29;30;;;
3198;40.29;30;;;
3204;40.29;30;;;
3204;40.29;30;;;
3201;40.29;30;;;
3225;40.29;30;;;
3193;40.29;30;;;
3211;40.29;30;;;
3217;40.29;30;;;
3204;40.29;30;;;
3231;40.29;30;;;
3213;40.29;30;;;
3195;40.29;30;;;
3197;40.29;30;;;
3186;40.29;30;;;
3201;40.29;30;;;
3198;40.29;30;;;
3198;40.29;30;;;
3184;40.29;30;;;
3194;40.29;30;;;
3175;40.29;30;;;
3189;40.29;30;;;
3200;40.29;30;;;
3200;40.29;30;;;
3196;40.29;30;;;
3198;40.26;30;;;
3208;40.26;30;;;
3188;40.26;30;;;
3179;40.26;30;;;
3184;40.26;30;;;
3165;40.26;30;;;
3164;40.26;30;;;
3166;40.26;30;;;
3176;40.26;30;;;
3165;40.26;30;;;
3158;40.26;30;;;
3147;40.26;30;;;
3149;40.26;30;;;
3155;40.26;30;;;
3141;40.26;30;;;
3152;40.26;30;;;
3144;40.26;30;;;
3147;40.26;30;;;
3139;40.26;30;;;
3145;40.26;30;;;
3139;40.26;30;;;
3152;40.26;30;;;
3167;40.26;30;;;
3144;40.26;30;;;
3161;40.26;30;;;
3174;40.26;30;;;
3175;40.26;30;;;
3151;40.26;30;;;
3174;40.26;30;;;
3180;40.26;30;;;
3162;40.26;30;;;
3164;40.26;30;;;
3171;40.26;30;;;
3163;40.26;30;;;
3167;40.26;30;;;
3186;40.26;30;;;
3172;40.26;30;;;
3152;40.26;30;;;
3153;40.26;30;;;
3168;40.26;30;;;
3161;40.26;30;;;
3147;40.26;30;;;
3170;40.26;30;;;
3179;40.26;30;;;
3177;40.26;30;;;
3176;40.26;30;;;
3184;40.26;30;;;
3179;40.26;30;;;
3191;40.26;30;;;
3175;40.26;30;;;
3164;40.26;30;;;
3165;40.26;30;;;
3172;40.26;30;;;
3165;40.26;30;;;
3174;40.29;30;;;
3159;40.29;30;;;
3158;40.29;30;;;
3178;40.29;30;;;
3161;40.29;30;;;
3172;40.29;30;;;
3183;40.29;30;;;
3174;40.29;30;;;
3165;40.29;30;;;
3155;40.29;30;;;
3161;40.29;30;;;
3160;40.29;30;;;
3162;40.29;30;;;
3153;40.29;30;;;
3153;40.29;30;;;
3167;40.29;30;;;
3176;40.29;30;;;
3159;40.29;30;;;
3162;40.29;30;;;
3156;40.29;30;;;
3151;40.29;30;;;
3147;40.29;30;;;
3171;40.29;30;;;
3162;40.29;30;;;
3163;40.29;30;;;
3158;40.29;30;;;
3166;40.29;30;;;
3159;40.29;30;;;
3152;40.29;30;;;
3153;40.32;30;;;
3155;40.32;30;;;
3143;40.32;30;;;
3134;40.32;30;;;
3137;40.32;30;;;
3128;40.32;30;;;
3139;40.32;30;;;
3156;40.32;30;;;
3157;40.32;30;;;
3168;40.32;30;;;
3166;40.32;30;;;
3159;40.32;30;;;
3150;40.32;30;;;
3160;40.32;30;;;
3136;40.32;30;;;
3143;40.32;30;;;
3140;40.32;30;;;
3125;40.32;30;;;
3134;40.32;30;;;
3146;40.32;30;;;
3133;40.32;30;;;
3142;40.32;30;;;
3148;40.32;30;;;
3136;40.32;30;;;
3152;40.32;30;;;
3170;40.32;30;;;
3158;40.32;30;;;
3161;40.32;30;;;
3166;40.32;30;;;
3172;40.32;30;;;
3166;40.32;30;;;
3164;40.32;30;;;
3166;40.32;30;;;
3172;40.32;30;;;
3169;40.32;30;;;
3164;40.32;30;;;
3169;40.32;30;;;
3168;40.32;30;;;
3164;40.32;30;;;
3170;40.32;30;;;
3183;40.32;30;;;
3173;40.32;30;;;
3182;40.32;30;;;
3170;40.32;30;;;
3179;40.32;30;;;
3174;40.32;30;;;
3186;40.32;30;;;
3179;40.32;30;;;
3166;40.32;30;;;
3171;40.32;30;;;
3177;40.32;30;;;
3185;40.32;30;;;
3172;40.32;30;;;
3193;40.32;30;;;
3191;40.32;30;;;
3177;40.32;30;;;
3181;40.32;30;;;
3186;40.32;30;;;
3212;40.32;30;;;
3222;40.32;30;;;
3218;40.32;30;;;
3216;40.32;30;;;
3221;40.32;30;;;
3215;40.32;30;;;
3213;40.32;30;;;
3184;40.32;30;;;
3192;40.32;30;;;
3197;40.32;30;;;
3197;40.32;30;;;
3199;40.32;30;;;
3193;40.32;30;;;
3171;40.32;30;;;
3183;40.32;30;;;
3199;40.32;30;;;
3189;40.32;30;;;
3178;40.32;30;;;
3164;40.32;30;;;
3187;40.32;30;;;
3183;40.32;30;;;
3196;40.32;30;;;
3188;40.32;30;;;
3209;40.32;30;;;
3201;40.32;30;;;
3182;40.32;30;;;
3181;40.32;30;;;
3166;40.32;30;;;
3151;40.32;30;;;
3152;40.32;30;;;
3154;40.32;30;;;
3157;40.32;30;;;
3142;40.32;30;;;
3143;40.32;30;;;
3137;40.32;30;;;
3137;40.32;30;;;
3137;40.32;30;;;
3141;40.32;30;;;
3145;40.32;30;;;
3132;40.32;30;;;
3125;40.32;30;;;
3125;40.32;30;;;
3126;40.32;30;;;
3110;40.32;30;;;
3112;40.29;30;;;
3116;40.32;30;;;
3100;40.32;30;;;
3112;40.29;30;;;
3094;40.29;30;;;
3096;40.29;30;;;
3102;40.29;30;;;
3102;40.32;30;;;
3103;40.32;30;;;
3097;40.32;30;;;
3113;40.32;30;;;
3097;40.32;30;;;
3083;40.32;30;;;
3098;40.32;30;;;
3097;40.32;30;;;
3111;40.32;30;;;
3103;40.32;30;;;
3113;40.32;30;;;
3106;40.29;30;;;
3090;40.32;30;;;
3095;40.32;30;;;
3090;40.32;30;;;
3114;40.32;30;;;
3122;40.32;30;;;
3137;40.29;30;;;
3125;40.29;30;;;
3099;40.29;30;;;
3100;40.29;30;;;
3102;40.29;30;;;
3086;40.29;30;;;
3085;40.29;30;;;
3103;40.29;30;;;
3117;40.29;30;;;
3119;40.29;30;;;
3116;40.29;30;;;
3115;40.29;30;;;
3092;40.29;30;;;
3097;40.29;30;;;
3102;40.29;30;;;
3112;40.29;30;;;
3146;40.29;30;;;
3132;40.29;30;;;
3140;40.29;30;;;
3129;40.29;30;;;
3142;40.29;30;;;
3122;40.29;30;;;
3123;40.29;30;;;
3117;40.29;30;;;
3133;40.29;30;;;
3122;40.29;30;;;
3144;40.29;30;;;
3150;40.29;30;;;
3161;40.29;30;;;
3132;40.29;30;;;
3148;40.29;30;;;
3136;40.29;30;;;
3140;40.29;30;;;
3133;40.29;30;;;
3144;40.29;30;;;
3151;40.29;30;;;
3143;40.29;30;;;
3168;40.29;30;;;
3146;40.29;30;;;
3164;40.29;30;;;
3138;40.29;30;;;
3155;40.29;30;;;
3138;40.29;30;;;
3136;40.29;30;;;
3140;40.29;30;;;
3149;40.29;30;;;
3130;40.29;30;;;
3138;40.26;30;;;
3141;40.29;30;;;
3146;40.26;30;;;
3150;40.26;30;;;
3161;40.26;30;;;
3163;40.26;30;;;
3154;40.26;30;;;
3146;40.26;30;;;
3147;40.26;30;;;
3122;40.26;30;;;
3139;40.26;30;;;
3147;40.26;30;;;
3159;40.26;30;;;
3154;40.26;30;;;
3148;40.26;30;;;
3129;40.26;30;;;
3127;40.26;30;;;
3144;40.26;30;;;
3148;40.26;30;;;
3144;40.26;30;;;
3136;40.26;30;;;
3133;40.26;30;;;
3135;40.26;30;;;
3118;40.26;30;;;
3131;40.26;30;;;
3111;40.26;30;;;
3109;40.26;30;;;
3109;40.26;30;;;
3105;40.26;30;;;
3107;40.26;30;;;
3134;40.26;30;;;
3129;40.26;30;;;
3118;40.26;30;;;
3127;40.26;30;;;
3128;40.26;30;;;
3124;40.26;30;;;
3121;40.26;30;;;
3130;40.26;30;;;
3102;40.26;30;;;
3120;40.26;30;;;
3114;40.26;30;;;
3101;40.26;30;;;
3103;40.26;30;;;
3095;40.26;30;;;
3093;40.26;30;;;
3104;40.26;30;;;
3102;40.26;30;;;
3114;40.26;30;;;
3099;40.26;30;;;
3104;40.26;30;;;
3119;40.26;30;;;
3112;40.26;30;;;
3129;40.26;30;;;
3109;40.26;30;;;
3130;40.26;30;;;
3120;40.26;30;;;
3127;40.26;30;;;
3125;40.26;30;;;
3139;40.26;30;;;
3153;40.26;30;;;
3143;40.26;30;;;
3147;40.26;30;;;
3144;40.26;30;;;
3152;40.26;30;;;
3165;40.29;30;;;
3153;40.29;30;;;
3185;40.26;30;;;
3190;40.29;30;;;
3204;40.26;30;;;
3205;40.29;30;;;
3197;40.29;30;;;
3216;40.29;30;;;
3214;40.29;30;;;
3204;40.29;30;;;
3203;40.29;30;;;
3197;40.29;30;;;
3205;40.29;30;;;
3200;40.29;30;;;
3198;40.29;30;;;
3182;40.29;30;;;
3195;40.29;30;;;
3210;40.29;30;;;
3192;40.29;30;;;
3182;40.29;30;;;
3174;40.29;30;;;
3174;40.29;30;;;
3178;40.29;30;;;
3192;40.29;30;;;
3180;40.29;30;;;
3187;40.29;30;;;
3199;40.29;30;;;
3195;40.29;30;;;
3192;40.29;30;;;
3173;40.29;30;;;
3202;40.29;30;;;
3198;40.29;30;;;
3213;40.29;30;;;
3209;40.29;30;;;
3197;40.29;30;;;
3192;40.29;30;;;
3192;40.29;30;;;
3198;40.29;30;;;
3199;40.29;30;;;
3199;40.29;30;;;
3204;40.29;30;;;
3188;40.29;30;;;
3188;40.29;30;;;
3204;40.29;30;;;
3198;40.29;30;;;
3190;40.29;30;;;
3196;40.29;30;;;
3194;40.29;30;;;
3195;40.29;30;;;
3206;40.29;30;;;
3192;40.32;30;;;
3192;40.29;30;;;
3186;40.29;30;;;
3173;40.29;30;;;
3188;40.32;30;;;
3206;40.29;30;;;
3190;40.32;30;;;
3201;40.32;30;;;
3210;40.32;30;;;
3234;40.32;30;;;
3239;40.32;30;;;
3225;40.32;30;;;
3232;40.32;30;;;
3217;40.32;30;;;
3223;40.32;30;;;
3219;40.32;30;;;
3224;40.32;30;;;
3216;40.32;30;;;
3209;40.32;30;;;
3230;40.32;30;;;
3211;40.32;30;;;
3233;40.32;30;;;
3219;40.32;30;;;
3220;40.32;30;;;
3211;40.32;30;;;
3205;40.32;30;;;
3210;40.32;30;;;
3196;40.32;30;;;
3196;40.32;30;;;
3222;40.32;30;;;
3190;40.32;30;;;
3192;40.32;30;;;
3175;40.32;30;;;
3188;40.35;30;;;
3167;40.35;30;;;
3176;40.35;30;;;
3190;40.35;30;;;
3193;40.35;30;;;
3197;40.35;30;;;
3187;40.35;30;;;
3205;40.35;30;;;
3206;40.35;30;;;
3203;40.35;30;;;
3195;40.35;30;;;
3197;40.35;30;;;
3196;40.35;30;;;
3186;40.35;30;;;
3180;40.35;30;;;
3181;40.35;30;;;
3163;40.35;30;;;
3178;40.35;30;;;
3164;40.35;30;;;
3153;40.35;30;;;
3139;40.35;30;;;
3136;40.35;30;;;
3124;40.35;30;;;
3131;40.35;30;;;
3123;40.35;30;;;
3130;40.35;30;;;
3160;40.35;30;;;
3151;40.35;30;;;
3158;40.35;30;;;
3154;40.35;30;;;
3168;40.35;30;;;
3150;40.35;30;;;
3150;40.35;30;;;
3182;40.35;30;;;
3161;40.35;30;;;
3165;40.35;30;;;
3168;40.35;30;;;
3162;40.35;30;;;
3140;40.35;30;;;
3137;40.35;30;;;
3151;40.35;30;;;
3141;40.35;30;;;
3129;40.35;30;;;
3123;40.35;30;;;
3121;40.35;30;;;
3123;40.35;30;;;
3133;40.35;30;;;
3141;40.35;30;;;
3123;40.35;30;;;
3125;40.35;30;;;
3133;40.35;30;;;
3133;40.35;30;;;
3129;40.35;30;;;
3149;40.35;30;;;
3142;40.35;30;;;
3137;40.35;30;;;
3122;40.35;30;;;
3144;40.35;30;;;
3148;40.35;30;;;
3131;40.35;30;;;
3145;40.32;30;;;
3119;40.32;30;;;
3140;40.32;30;;;
3126;40.32;30;;;
3145;40.32;30;;;
3139;40.32;30;;;
3124;40.32;30;;;
3124;40.32;30;;;
3125;40.32;30;;;
3136;40.32;30;;;
3137;40.32;30;;;
3118;40.32;30;;;
3126;40.32;30;;;
3119;40.32;30;;;
3110;40.32;30;;;
3119;40.32;30;;;
3108;40.32;30;;;
